Type	Predicate	Enabled
const class clang::CXXRecordDecl *	clang::UnresolvedLookupExpr::getNamingClass	1
class clang::SourceLocation	clang::UnresolvedLookupExpr::getBeginLoc	1
class clang::SourceLocation	clang::UnresolvedLookupExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::UnresolvedLookupExpr::children	1
const class clang::Expr *	clang::PackExpansionExpr::getPattern	1
class clang::SourceLocation	clang::PackExpansionExpr::getEllipsisLoc	1
class std::optional<unsigned int>	clang::PackExpansionExpr::getNumExpansions	1
class clang::SourceLocation	clang::PackExpansionExpr::getBeginLoc	1
class clang::SourceLocation	clang::PackExpansionExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::PackExpansionExpr::children	1
const class clang::ParmVarDecl *	clang::CXXDefaultArgExpr::getParam	1
_Bool	clang::CXXDefaultArgExpr::hasRewrittenInit	1
const class clang::Expr *	clang::CXXDefaultArgExpr::getExpr	1
const class clang::Expr *	clang::CXXDefaultArgExpr::getRewrittenExpr	1
const class clang::Expr *	clang::CXXDefaultArgExpr::getAdjustedRewrittenExpr	1
const class clang::DeclContext *	clang::CXXDefaultArgExpr::getUsedContext	1
class clang::SourceLocation	clang::CXXDefaultArgExpr::getUsedLocation	1
class clang::SourceLocation	clang::CXXDefaultArgExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXDefaultArgExpr::getEndLoc	1
class clang::SourceLocation	clang::CXXDefaultArgExpr::getExprLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CXXDefaultArgExpr::children	1
class clang::Expr *	clang::CXXPseudoDestructorExpr::getBase	1
_Bool	clang::CXXPseudoDestructorExpr::hasQualifier	1
class clang::NestedNameSpecifierLoc	clang::CXXPseudoDestructorExpr::getQualifierLoc	1
class clang::NestedNameSpecifier *	clang::CXXPseudoDestructorExpr::getQualifier	1
_Bool	clang::CXXPseudoDestructorExpr::isArrow	1
class clang::SourceLocation	clang::CXXPseudoDestructorExpr::getOperatorLoc	1
class clang::TypeSourceInfo *	clang::CXXPseudoDestructorExpr::getScopeTypeInfo	1
class clang::SourceLocation	clang::CXXPseudoDestructorExpr::getColonColonLoc	1
class clang::SourceLocation	clang::CXXPseudoDestructorExpr::getTildeLoc	1
class clang::TypeSourceInfo *	clang::CXXPseudoDestructorExpr::getDestroyedTypeInfo	1
class clang::IdentifierInfo *	clang::CXXPseudoDestructorExpr::getDestroyedTypeIdentifier	1
class clang::QualType	clang::CXXPseudoDestructorExpr::getDestroyedType	1
class clang::SourceLocation	clang::CXXPseudoDestructorExpr::getDestroyedTypeLoc	1
class clang::SourceLocation	clang::CXXPseudoDestructorExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXPseudoDestructorExpr::getEndLoc	1
